,time,num_nodes,num_edges,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,Components_cnt,giant_com_ratio,token,core_cnt,core_ratio,avg_core_neighbor,relative_degree,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktEstUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2021-07-10,1244,1585,2.548231511,10.11622348,78.2,80.48712803,30.68794953,0.002050066,0.008138555,0.023841682000000003,0.139476574,0.732608942,0.002543335,0.011381038000000001,0.025978317999999997,0.181661442,0.06748286,53,0.899517685,AAVE,1,0.000803859,299.0,0.0020500655762301042,1244.0,1286.0,63557.0,78559.0,262.0,36287.0,70576.0,66.0,8583.0,85262.0,79796.0,71242.0,66769.0,1884.0,15.0,13103.0,113.0,43825.0,360.0,4.0,57271.0,736.0,69929.0,4051.0,43.0,76084.0,25564.0,184.0,1625967490.0,3798552994.7083673,1.218846419221,0.9756228537010001,4735088192.167776,3798409339.326336,3790190611.154018,3884893221.5714707,0.0,0.0,0.941623474236,118.82782797854601,24.1221825269792,95.11546557740499,19.308546329829486,0.008804959355526823,295.943012010486,,-5.077254450042656,304.714104896549,0.008984672664181141,0.14147916259587698,256.739634126517,304.714104896549,0.0013264400450000002,12835420.47133647,12336565.776657376,7709996.4565312,12835420.47133647,12835420.47133647,8793319.945388008,12835420.47133647,12835420.47133647,12835420.47133647,8117211.508381645,11068330.76879189,12835420.47133647,80.2213779459,15524943.005725546,15999303.946643233,15999997.354650121,15065975.58777246,15979529.64972304,15999953.586564915,13876306.616834033,15823885.795897298,15999998.919988262,15999961.155760922,15999708.246649235,15988630.280960739,15879868.066311594,15598148.399747036,11907135.525776178,14472863.302210713,15186900.13452895,8398426.331079489,15999991.425700959,15999938.276252445,15997792.995084494,15397131.395179538,15720473.386513231,13356340.020329893,15954050.39071941,14877040.313213348,14326790.513547663,15822972.072083823,15432548.462776078,16000000.0,12807163.735360382,2095.0,0.024247685185,2615.0,134648.59429130284,39848310.55754609,85.72783144190547,25370.552650044763,7.53065524,2228.6447941381493,12.070422998045,0.08652673824738859,0.08019813698089491
1,2021-07-11,1422,1753,2.4655414909999998,12.41596132,95.5,116.1103402,38.73388477,0.001735075,0.008737482,0.015378306000000001,0.11177112300000001,0.7347056259999999,0.0013381270000000002,0.011120216,0.024082847999999997,0.188941479,0.071583386,60,0.897327707,AAVE,2,0.00140647,261.0,0.0017350749407867322,1422.0,1289.0,63649.0,78445.0,261.0,36347.0,70666.0,66.0,8605.0,85154.0,79683.0,71124.0,66867.0,1890.0,15.0,13137.0,113.0,43898.0,358.0,4.0,57592.0,748.0,70040.0,4141.0,45.0,76067.0,25947.0,188.0,1626053983.0,3910850644.316417,1.233875630544,0.9877439911299999,4874624544.057296,3910489354.5393248,3902241833.1461706,3950661171.5057006,0.0,0.0,0.9414864595739999,124.930368358387,25.276365843627,100.00944795487601,20.234274720738142,0.00889310843236492,304.66403400358104,,7.396407563579887,295.945169801252,0.00880502355457603,0.139790376850443,249.581103187551,295.945169801252,0.001328207066,12836601.002501167,12335678.610524468,7562734.461135473,12836601.002501167,12836601.002501167,8783728.75549642,12836601.002501167,12836601.002501167,12836601.002501167,8107708.886202804,11065406.295361947,12836601.002501167,80.2287562656,15523220.959585404,15999305.817704424,15999997.352266056,15063783.353176659,15979506.041801807,15999955.736752998,13877931.284810752,15823640.864849407,15999998.918832542,15999961.13841758,15999710.801524613,15988621.560861029,15879774.655889487,15596804.746444345,11900638.030323682,14475047.336865563,15184021.725345608,8393574.324621981,15999991.74770422,15999941.170944577,15997871.729634386,15398575.797955675,15722500.63631731,13428915.272054985,15955113.21665591,14891457.59687974,14328735.154027624,15822194.312439756,15429791.57743674,16000000.0,12808344.26652508,2511.0,0.0290625,3076.0,128071.34254259824,39018731.85928243,64.22822806315547,19568.031058622953,9.116568562441635,2777.4905545036963,12.082770874889999,0.08628794707683016,0.07842622171463473
2,2021-07-12,1272,1680,2.641509434,9.641183639,80.4,70.20319714,30.43714286,0.0020782920000000002,0.00758551,0.03111556,0.157234492,0.7213835740000001,0.004512446,0.011044901000000001,0.025781704,0.176097682,0.069605538,59,0.883647799,AAVE,1,0.0007861639999999999,113.6,0.0020782922375784927,1272.0,1290.0,63725.0,78497.0,262.0,36396.0,70768.0,65.0,8629.0,85222.0,79738.0,71169.0,66947.0,1896.0,15.0,13160.0,112.0,43957.0,360.0,4.0,57461.0,738.0,70121.0,4087.0,44.0,76036.0,25713.0,184.0,1626140321.0,3815689570.4395466,1.2217005587899998,0.9780722363940001,4755650160.138688,3815365808.5981617,3807290873.503942,3892647937.2730393,0.0,0.0,0.941347146625,62.807490099685005,24.821206917116474,50.282585091845,19.87142690961408,0.008970152975530533,297.228135008668,,6.0861201524959085,304.66032757137697,0.00889300024203127,0.142351808323732,256.663361169579,304.66032757137697,0.0013299754250000002,12837578.684562512,12334696.898899402,7600606.717308162,12837578.684562512,12837578.684562512,8785045.905304251,12837578.684562512,12837578.684562512,12837578.684562512,8113695.957550002,10986129.157949679,12837578.684562512,80.2348667785,15522419.759579133,15999304.541677874,15999997.346513145,15061554.345993191,15979480.150339503,15999956.243310068,13864479.15113649,15823565.307597874,15999998.916918732,15999961.08524278,15999709.953838296,15988611.254779654,15879672.130772235,15596546.537630588,11911354.496748544,14462433.28684734,15182127.955905333,8393054.319668036,15999991.466314668,15999940.958888039,15997802.235333528,15393741.59887629,15719943.704693913,13386654.173241025,15954161.832848867,14871229.572422061,14327407.86275074,15821842.856904265,15428743.472313955,16000000.0,12809321.948586421,2637.0,0.030520833333,3253.0,254746.6866548163,75717882.57404858,120.81962805038259,35910.99271785617,33.19250534650773,9865.74646040773,12.107335015518,0.08561419199553294,0.07853811456144208
3,2021-07-13,1236,1586,2.5663430419999997,8.405105441,75.0,50.64253811,29.22446406,0.0020780110000000003,0.006805753,0.011974406000000002,0.102993654,0.7302345240000001,0.0024725629999999997,0.010822096000000002,0.026315471,0.17468219399999999,0.066918018,57,0.890776699,AAVE,10,0.008090615,75.0,0.0020780105603815362,1236.0,1285.0,63867.0,78650.0,258.0,36472.0,70918.0,64.0,8624.0,85388.0,79890.0,71320.0,67092.0,1896.0,15.0,13169.0,113.0,44043.0,358.0,4.0,56806.0,692.0,70181.0,3829.0,43.0,75814.0,24731.0,176.0,1626226251.0,3473471608.977658,1.17111280407,0.937656141383,4328744853.716944,3473162666.5616465,3465826846.4501953,3696266353.396325,0.0,0.0,0.9412019014299999,99.82627042763,22.790598423400773,79.92630190065199,18.247383602353803,0.008288301960653752,270.546553357309,,-14.26543021985784,297.216680158933,0.00896980727557035,0.146193851052837,250.821149389223,297.216680158933,0.001332644525,12838720.604177369,12296278.897593899,7617498.415631893,12838720.604177369,12838720.604177369,8786425.857571002,12838720.604177369,12838720.604177369,12838720.604177369,8104355.142902489,10986442.803330943,12838720.604177369,80.24200377609999,15521636.281651247,15999303.795235174,15999997.346220225,15059230.4228832,15979437.29135378,15999956.230416609,13853971.626847735,15823056.277806161,15999998.915195847,15999961.081924371,15999709.61145209,15988579.445488868,15879334.608940136,15596300.561311241,11926589.339324139,14480383.57884453,15182646.370729638,8399241.931862008,15999990.141584536,15999937.752131969,15997522.08528474,15378961.234296452,15710489.196479693,13369215.203731768,15950431.553794092,14852410.953005282,14334685.416517166,15821674.301707076,15430002.724068731,16000000.0,12810463.86820128,2091.0,0.024201388889000003,2499.0,160278.45106764164,43362782.51379856,105.31534407244077,28492.703354437956,13.927079449565776,3767.9233434134276,12.123783955820999,0.08592184559055435,0.07721565476421761
4,2021-07-14,1296,1720,2.6543209880000003,9.526680105,87.7,59.94080413,33.04046512,0.002049669,0.00735651,0.02215327,0.131473515,0.7215581059999999,0.003944100999999999,0.011100711000000001,0.02547312,0.18457915800000002,0.067458912,57,0.900462963,AAVE,9,0.006944444,92.22222222,0.002049668716335383,1296.0,1288.0,64014.0,78814.0,256.0,36574.0,71079.0,65.0,8634.0,85561.0,80054.0,71482.0,67250.0,1897.0,15.0,13188.0,113.0,44158.0,356.0,4.0,57192.0,698.0,70379.0,3883.0,43.0,76112.0,25086.0,176.0,1626312643.0,3578673687.2161274,1.188994638631,0.951998917147,4459731121.42704,3578575070.454793,3570797596.914722,3750842078.281806,0.0,0.0,0.9411802858409999,46.062404062255,23.79025942103333,36.881039967491,19.048278664705904,0.008498407742263634,278.73319508918996,,-12.039906363988512,270.550592842945,0.0082884257119132,0.13948493265345902,230.733092597949,270.550592842945,0.0013350448749999998,12839065.279149879,12285461.73218688,7730132.989748317,12839065.279149879,12839065.279149879,8793087.620532682,12839065.279149879,12839065.279149879,12839065.279149879,8085382.440258055,10984796.801406225,12839065.279149879,80.2441579947,15521131.49700482,15999302.351747222,15999997.343920358,15058884.573461417,15979401.0155674,15999956.204931954,13876383.68549464,15822560.0563135,15999998.912854463,15999961.071524082,15999709.267435972,15988558.818382027,15878944.307152715,15595720.062387204,11938235.772498755,14483881.20771104,15183135.241893234,8408836.434790913,15999990.628197042,15999939.082004184,15997608.838866506,15380530.204868611,15711814.064249579,13365454.181751395,15951363.401768865,14856745.990802191,14339422.804039937,15821307.610929823,15429432.237779235,16000000.0,12810808.543173788,2523.0,0.029201388889,3053.0,347354.86186034646,96819330.47609861,173.39914470411156,48332.09762910981,35.56046221996632,9911.881253419642,12.15687068012,0.08547605490274282,0.07746360934576668
5,2021-07-15,1158,1461,2.5233160619999997,8.778798538,71.0,60.31583539999999,28.137577,0.002180913,0.007587553,0.009670184,0.09338435,0.7346519429999999,0.001217793,0.011524056999999999,0.027044141,0.180254545,0.06465087,50,0.909326425,AAVE,1,0.0008635580000000001,236.0,0.002180912759011379,1158.0,1287.0,64168.0,78983.0,263.0,36660.0,71247.0,64.0,8654.0,85741.0,80224.0,71653.0,67406.0,1888.0,15.0,13217.0,115.0,44249.0,357.0,4.0,57093.0,693.0,70504.0,3836.0,42.0,76157.0,24863.0,181.0,1626399402.0,3481373835.6887703,1.174633481772,0.940593732388,4338046321.114847,3481028619.7925625,3473712646.342034,3693106307.9950786,0.0,0.0,0.941672971573,52.349846615929,23.241112029693493,41.919405825313,18.610438616028997,0.008550856109506256,271.127895069678,,-13.438990663958506,278.73319508918996,0.00849840774226362,0.139895259974148,236.582247459733,278.73319508918996,0.001337444747,12840338.080277877,12242881.876671664,7783653.815354092,12840338.080277877,12840338.080277877,8784588.623049716,12840338.080277877,12840338.080277877,12840338.080277877,8096832.673404231,10968799.250325667,12840338.080277877,80.2521130017,15520582.287787478,15999301.658124972,15999997.342504695,15066767.545171186,15979363.199627928,15999956.168193763,13818889.06645901,15822208.504221074,15999998.912691344,15999961.07762516,15999708.809166644,15988526.669969378,15878673.25595294,15594242.977325886,11932983.754069604,14468772.932765596,15182691.984998044,8408644.59561057,15999990.174973346,15999937.5563759,15997519.315901946,15378807.995598052,15709230.816114193,13309433.38233457,15950243.01188986,14863927.591321912,14300394.438332107,15820924.294584986,15430020.885685597,16000000.0,12812081.34430179,2076.0,0.024027777777999998,2514.0,305636.0435472889,82866457.1444009,171.66028266903567,46541.89110712158,31.198813080882296,8458.868519291951,12.183842802033999,0.08516129683328554,0.0775713379430253
6,2021-07-16,1089,1340,2.46097337,7.896887846,65.5,46.31594398,26.61548507,0.002261924,0.007258169,0.012843452,0.102994109,0.744294943,0.003762332,0.011179063999999999,0.028178561,0.167662686,0.068673317,62,0.8732782370000001,AAVE,14,0.012855831000000002,56.21428571,0.0022619240533679036,1089.0,1272.0,64277.0,79130.0,262.0,36705.0,71384.0,66.0,8639.0,85902.0,80373.0,71793.0,67518.0,1878.0,15.0,13213.0,115.0,44299.0,356.0,4.0,56651.0,661.0,70561.0,3684.0,32.0,76067.0,24161.0,176.0,1626485523.0,3265907553.4084816,1.142327890752,0.9147685643729999,4069365606.8086076,3265751885.2298546,3258720866.56212,3562344612.044068,0.0,0.0,0.94183828081,58.042886762102,21.85817302538112,46.480357019456996,17.503879332827132,0.00808550463881428,254.335350425538,,-12.00164524709298,271.127895069678,0.008550856109506259,0.14173847956838098,230.50844121751499,271.127895069678,0.001340064115,12840950.139035601,12200327.50098089,7691053.357982567,12840950.139035601,12840950.139035601,8810460.58553483,12840950.139035601,12840950.139035601,12840950.139035601,8126112.504076524,10967109.38034434,12840950.139035601,80.25593836899999,15519909.638339419,15999299.658022912,15999997.338025471,15069412.492965449,15979318.128478987,15999956.0754053,13851076.09959563,15821803.108358426,15999998.911277901,15999961.024942653,15999707.308840448,15988487.753357803,15878414.723808596,15594036.114399247,11929521.070154114,14471252.96422263,15185723.428625146,8407897.838141644,15999989.269919004,15999934.495842958,15997307.836984307,15369788.579268435,15703664.014070135,12911517.869155277,15947372.721213749,14848132.06344101,14302743.62257132,15821018.255562302,15433494.02692131,16000000.0,12812693.40305951,1794.0,0.020763888889,2178.0,275658.239838735,70109635.02707167,174.52833767431812,44388.72592158432,17.461133161394137,4440.983421430159,12.207600472000001,0.08527077799597416,0.07707460461778294
7,2021-07-17,1064,1280,2.406015038,7.774733027999999,61.0,49.63869458,25.353125,0.00226342,0.007313954,0.015444318,0.113057873,0.754751587,0.00309488,0.010998531,0.02862957,0.16175888900000002,0.069745193,57,0.859962406,AAVE,9,0.008458647,64.11111111,0.002263419602628396,1064.0,1264.0,64400.0,79289.0,261.0,36753.0,71543.0,66.0,8631.0,86069.0,80532.0,71950.0,67656.0,1872.0,15.0,13216.0,115.0,44373.0,355.0,4.0,56726.0,647.0,70716.0,3658.0,32.0,76197.0,24143.0,176.0,1626571808.0,3249763824.7376237,1.139940083165,0.9128818854799999,4049137608.888688,3249673383.864593,3242612861.466047,3552061787.0090537,0.0,0.0,0.9421148617209999,81.399612015998,21.965706712560593,65.186085121434,17.590482215517632,0.008021791936951947,253.07110055554298,,-13.392299827302294,254.335350425538,0.00808550463881428,0.135421076052895,215.672445632042,254.335350425538,0.0013439499909999998,12841307.512409454,12158238.844056359,7603368.300422937,12841307.512409454,12841307.512409454,8811016.393938446,12841307.512409454,12841307.512409454,12841307.512409454,8002769.151664616,10965611.824955203,12841307.512409454,80.25817195260001,15519381.801272666,15999296.336381316,15999997.337160753,15073837.787539022,15979255.847785998,15999956.076045794,13854014.174125863,15821362.463223971,15999998.910491394,15999961.00237142,15999705.803349063,15988455.639974626,15878119.666573314,15593813.022414116,11937205.658732433,14474815.020400293,15189833.477971846,8450227.404246826,15999989.153865568,15999934.375554973,15997287.282911425,15366679.154270919,15702608.621462377,12923894.185678756,15947058.2111446,14853256.857593393,14306333.078660188,15820962.460778564,15435211.398184681,16000000.0,12813050.77643336,1693.0,0.019594907407,2037.0,196561.13344687078,49743942.36784455,132.48484042711513,33528.08437381553,9.811978100000001,2483.128096393886,12.224467448247001,0.08520338975306782,0.07702107342095159
8,2021-07-18,1055,1295,2.454976303,7.75035112,65.4,43.3646041,26.63976834,0.0023292,0.007353274,0.013259834,0.099355655,0.745137371,0.002862339,0.011529734,0.028560562,0.164777444,0.06729719599999999,59,0.874881517,AAVE,9,0.008530806,69.0,0.002329199528764265,1055.0,1272.0,64459.0,79342.0,264.0,36786.0,71592.0,66.0,8639.0,86132.0,80588.0,71998.0,67713.0,1875.0,15.0,13239.0,114.0,44405.0,359.0,4.0,56817.0,653.0,70765.0,3676.0,33.0,76282.0,24240.0,177.0,1626658479.0,3271685072.2021904,1.143893415372,0.91607181578,4076344283.3567204,3271599404.314749,3264486060.6920366,3563570021.9758916,0.0,0.0,0.94203388783,132.538933446039,22.25363870765265,106.142040676038,17.821530349489265,0.00803500369794069,254.771517709795,,-3.45855625554112,253.07110055554298,0.00802179193695193,0.13340833947665198,215.270286155956,253.07110055554298,0.0013449233600000001,12841643.766195647,12155196.253424864,7588024.615972593,12841643.766195647,12841643.766195647,8810216.770076275,12841643.766195647,12841643.766195647,12841643.766195647,7996447.11053783,10962328.815036973,12841643.766195647,80.2602735387,15519666.46595755,15999297.25547444,15999997.334285067,15072542.205281923,15979242.109764911,15999956.062012613,13843322.181990141,15821138.02088882,15999998.91094464,15999960.972353674,15999706.568950862,15988441.1491287,15878073.543354558,15593532.884430502,11933314.061909778,14450451.663407471,15189294.956582837,8448901.820514617,15999989.279607112,15999934.393699335,15997302.6174032,15367651.514238298,15702908.063312957,12943155.28153814,15947302.265892528,14845010.191258172,14294309.8104087,15820722.01180027,15434255.110402228,16000000.0,12813387.03021955,1637.0,0.018946759259,1937.0,120719.24516062367,30755825.306352925,91.35464675211952,23274.56200287969,8.857223630753602,2256.568307102156,12.235527070169,0.085119039793379,0.07482089380030732
9,2021-07-19,1123,1429,2.544968833,8.202021352000001,67.3,51.21859471,26.4443317,0.002268243,0.007310179,0.022335291,0.134334851,0.734646611,0.003605137,0.011260538,0.027646932000000003,0.169553398,0.068669602,57,0.877114871,AAVE,9,0.008014248,70.77777778,0.00226824316709603,1123.0,1270.0,64542.0,79457.0,265.0,36829.0,71697.0,65.0,8630.0,86260.0,80704.0,72102.0,67804.0,1869.0,15.0,13233.0,113.0,44451.0,356.0,4.0,56285.0,607.0,70776.0,3476.0,26.0,76101.0,23254.0,168.0,1626744880.0,3074219135.6936326,1.110650468721,0.889478874894,3830186711.394928,3074118331.60938,3067454849.7784443,3448597753.536492,0.0,0.0,0.942365851834,75.67407250236,21.060961549915696,60.604565309901,16.866945012129204,0.0077512880330230065,239.386669462183,,-6.473430512296175,254.771517709795,0.0080350036979407,0.13460829570833802,216.591207705793,254.771517709795,0.0013466469270000002,12842064.859335374,12150120.578712296,7598799.924154131,12842064.859335374,12842064.859335374,8787314.816571932,12842064.859335374,12842064.859335374,12842064.859335374,7987415.358614725,10961717.431996452,12842064.859335374,80.2629053708,15519801.93506296,15999295.58533983,15999997.330011979,15077853.629349185,15979214.302248903,15999956.006396739,13838821.006969536,15820858.27153907,15999998.908224642,15999960.899327913,15999705.991451386,15988417.334006354,15877815.731386416,15593110.128316317,11927859.880650835,14447052.948516697,15189534.648740247,8451421.14372401,15999988.076514136,15999930.672198186,15997053.680290293,15350098.896935105,15694799.003821474,12662546.027244259,15943158.182153005,14813090.067595959,14302150.117589267,15820794.271539072,15435150.328195516,16000000.0,12813808.123359283,1815.0,0.021006944444,2202.0,211433.0505934,50614253.79578325,146.98210126934976,35185.55569342294,11.2262081,2687.4045677483814,12.255755481856001,0.0851991985455961,0.07547197819383805
