,Unnamed: 0,num_nodes,num_edges,time,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,Components_cnt,giant_com_ratio,token,core_cnt,core_ratio,avg_core_neighbor
0,0,702,807,2022/01/01,2.299145299,6.246617286,38.1,36.33623842,16.57137546,0.003279808,0.008911009,0.005408479,0.067652243,0.757362391,0.001018883,0.01411721,0.035027897,0.140052765,0.071031164,57,0.813390313,AAVE,1,0.001424501,140
1,1,522,612,2022/02/01,2.344827586,5.278779274,30.9,23.94646808,13.17794118,0.004500629,0.010132014,0.007448241,0.078656351,0.76140053,0.001113586,0.016945902,0.040393948,0.150175248,0.064852869,31,0.865900383,AAVE,9,0.017241379,32.66666667
2,2,628,740,2022/03/01,2.356687898,5.762456435,36.2,28.70075493,15.36054054,0.003758673,0.009190521,0.008564949,0.083774985,0.75765157,0.001051617,0.015553882,0.036777537,0.136293799,0.067144821,48,0.829617834,AAVE,1,0.001592357,115
3,3,1061,1506,2022/04/01,2.838831291,6.846803424,61.9,26.3668563,21.80474768,0.002678143,0.006459249,0.019922938,0.116261243,0.713203185,0.006518433,0.014171063,0.027246793,0.155349363,0.064463071,57,0.87464656,AAVE,10,0.009425071,61.9
4,4,403,444,2022/05/01,2.203473945,3.394213373,19.9,8.659612514,9.031193694,0.005481278,0.008443317,0.001742907,0.018996126,0.774825501,0.005263158,0.021097514,0.0451813,0.133132634,0.06290726,31,0.833746898,AAVE,12,0.029776675,18.33333333
5,5,578,695,2022/06/01,2.404844291,4.755598076,30.5,18.34393633,12.68273381,0.004167841,0.008241938,0.00737173,0.062263517,0.766099063,0.006399147,0.018708977,0.037181579,0.133168507,0.065022304,42,0.825259516,AAVE,7,0.012110727,36.71428571
6,6,772,912,2022/07/01,2.362694301,6.535391586,42.3,38.95310571,17.90328947,0.003064454,0.008476513,0.007233988,0.075155924,0.770405317,0.002033094,0.013680835,0.033310792,0.14185397,0.067839655,45,0.839378238,AAVE,9,0.011658031,150
7,7,1235,1516,2021/08/01,2.455060729,8.793058255,75.1,59.71311042,30.58987467,0.001989514,0.007125655,0.016739015,0.115568181,0.7497187,0.002644761,0.010707376,0.026374836,0.16704602,0.069651151,73,0.869635628,AAVE,14,0.011336032,64.85714286
8,8,1196,1453,2021/09/01,2.429765886,8.79630487,66.3,67.57391015,27.28657949,0.002033277,0.007360925,0.02066625,0.127580956,0.759553175,0.003353482,0.011091131,0.026715238,0.157718673,0.07104539,70,0.851170569,AAVE,4,0.003344482,255
9,9,853,1056,2021/10/01,2.475967175,7.469402164,51.2,45.1929198,20.67878788,0.002906065,0.008766904,0.015580393,0.111860188,0.736380137,0.002369107,0.013455958,0.031502914,0.148660699,0.064186241,47,0.861664713,AAVE,14,0.016412661,44.07142857
10,10,920,1012,2021/11/01,2.2,7.092671201,46.2,50.28540765,21,0.002393906,0.007717814,0.005770416,0.064436447,0.780960002,0.001356573,0.012330643,0.030592958,0.126688884,0.071418176,82,0.782608696,AAVE,13,0.014130435,189
11,11,712,797,2021/12/01,2.238764045,6.231065283,37.6,37.2803195,16.79498118,0.003148754,0.008763805,0.00953896,0.081419175,0.781244441,0.002231388,0.014016208,0.034781308,0.129977123,0.069636866,57,0.796348315,AAVE,1,0.001404494,143
